rowTactic,colTactic,games,winRow,winCol,draw,winRowPct,koPct,avgDurSec,comebackPct,entropyRow,topActionRow,topActionRowPct,hypoPct,deviationPp
TAC_PRESSURE,TAC_PRESSURE,400,190,210,0,47.5,100.0,78.5,98.5,0.417,Light,73.2,50,-2.5
TAC_PRESSURE,TAC_COUNTER,400,58,342,0,14.5,100.0,109.3,87.5,0.143,Light,94.1,40,-25.5
TAC_PRESSURE,TAC_ZONER,400,52,348,0,13.0,100.0,71.3,94.5,0.233,Light,88.6,60,-47.0
TAC_PRESSURE,TAC_BRAWLER,400,324,76,0,81.0,100.0,60.6,99.5,0.262,Light,87.5,45,36.0
TAC_PRESSURE,TAC_DEFENDER,400,373,27,0,93.2,100.0,111.5,91.2,0.190,Light,91.4,55,38.2
TAC_COUNTER,TAC_PRESSURE,400,326,74,0,81.5,100.0,111.3,86.8,0.394,Guard,71.6,60,21.5
TAC_COUNTER,TAC_COUNTER,400,0,0,400,50.0,0.0,180.0,0.0,0.000,Guard,100.0,50,0.0
TAC_COUNTER,TAC_ZONER,400,3,397,0,0.8,100.0,95.3,38.8,0.452,Guard,52.2,45,-44.2
TAC_COUNTER,TAC_BRAWLER,400,400,0,0,100.0,100.0,85.1,20.5,0.401,Guard,66.0,58,42.0
TAC_COUNTER,TAC_DEFENDER,400,0,0,400,50.0,0.0,180.0,0.0,0.000,Guard,100.0,40,10.0
TAC_ZONER,TAC_PRESSURE,400,350,50,0,87.5,100.0,71.1,94.0,0.455,Light,74.0,40,47.5
TAC_ZONER,TAC_COUNTER,400,396,4,0,99.0,100.0,96.2,44.2,0.592,Light,65.3,55,44.0
TAC_ZONER,TAC_ZONER,400,194,206,0,48.5,76.0,152.2,94.2,0.687,Light,53.0,50,-1.5
TAC_ZONER,TAC_BRAWLER,400,373,27,0,93.2,100.0,60.6,97.5,0.335,Light,84.1,62,31.2
TAC_ZONER,TAC_DEFENDER,400,400,0,0,100.0,100.0,107.0,0.0,0.626,Light,60.1,48,52.0
TAC_BRAWLER,TAC_PRESSURE,400,71,329,0,17.8,100.0,60.3,99.2,0.011,Light,99.7,55,-37.2
TAC_BRAWLER,TAC_COUNTER,400,0,400,0,0.0,100.0,85.4,24.0,0.004,Light,99.9,42,-42.0
TAC_BRAWLER,TAC_ZONER,400,27,373,0,6.8,100.0,60.8,96.2,0.006,Light,99.9,38,-31.2
TAC_BRAWLER,TAC_BRAWLER,400,191,209,0,47.8,100.0,59.9,100.0,0.000,Light,100.0,50,-2.2
TAC_BRAWLER,TAC_DEFENDER,400,78,322,0,19.5,100.0,84.9,98.5,0.002,Light,100.0,60,-40.5
TAC_DEFENDER,TAC_PRESSURE,400,31,369,0,7.8,100.0,111.4,89.8,0.479,Guard,68.4,45,-37.2
TAC_DEFENDER,TAC_COUNTER,400,0,0,400,50.0,0.0,180.0,0.0,0.000,Guard,100.0,60,-10.0
TAC_DEFENDER,TAC_ZONER,400,0,400,0,0.0,100.0,105.2,0.0,0.601,Guard,58.2,52,-52.0
TAC_DEFENDER,TAC_BRAWLER,400,335,65,0,83.8,100.0,84.2,98.5,0.570,Guard,47.4,40,43.8
TAC_DEFENDER,TAC_DEFENDER,400,0,0,400,50.0,0.0,180.0,0.0,0.000,Guard,100.0,50,0.0
